district,gender,race,major_award_count,allegation_count,sustained_count,unsustained_count,birth_year
10,M,White,1,3,1,1,1934
6,M,White,0,18,4,12,1948
10,M,Black,1,3,1,1,1938
9,M,Black,0,2,1,0,1944
2,M,Black,0,7,4,1,1950
1,M,White,0,3,1,2,1946
6,M,White,0,21,5,12,1957
17,M,White,0,13,2,5,1948
10,M,White,1,10,3,3,1952
22,M,White,0,17,1,9,1955
19,M,White,0,3,1,1,1953
1,M,White,0,14,1,2,1954
10,M,White,2,5,2,0,1954
13,M,White,0,8,1,4,1961
2,M,White,0,12,2,4,1955
6,M,Hispanic,0,51,7,13,1961
1,M,Hispanic,1,22,1,5,1959
10,M,Hispanic,1,30,3,12,1957
1,M,Black,0,2,0,1,1929
1,F,White,0,4,0,4,1954
14,F,White,0,8,0,6,1958
20,M,White,0,2,0,1,1950
8,M,White,0,2,0,1,1950
8,M,Black,0,5,0,2,1940
7,M,White,0,5,0,5,1956
16,M,White,0,1,0,1,1931
16,M,White,2,11,0,7,1949
23,M,Hispanic,0,5,0,2,1945
25,M,White,0,1,0,1,1943
21,M,Hispanic,0,1,0,1,1940
10,M,White,1,1,0,1,1938
21,M,White,0,26,0,16,1946
16,M,White,0,3,0,2,1947
14,F,White,0,10,0,5,1961
9,M,White,0,5,0,3,1947
24,M,White,0,1,0,1,1941
16,M,White,0,4,0,3,1946
25,M,White,0,6,0,2,1944
17,M,White,0,2,0,1,1953
25,M,White,0,1,0,1,1948
15,F,White,0,2,0,1,1961
16,F,White,0,12,0,8,1957
25,M,White,0,2,0,1,1942
7,M,White,0,8,0,5,1947
10,M,White,1,3,0,3,1942
10,F,White,1,2,0,1,1941
19,M,White,0,2,0,1,1949
19,M,White,1,20,0,11,1969
12,M,White,0,3,0,1,1947
3,M,Black,0,6,0,5,1939
10,M,White,1,5,0,4,1945
4,M,White,1,6,0,2,1950
21,F,White,0,13,0,4,1954
20,M,White,0,7,0,3,1946
16,F,White,0,2,0,1,1950
19,M,White,1,26,0,12,1957
16,F,White,1,3,0,3,1963
4,M,White,1,1,0,1,1945
4,M,White,1,2,0,1,1951
25,M,White,0,3,0,2,1942
16,M,White,0,12,0,9,1947
17,M,White,0,8,0,4,1950
4,M,White,3,18,0,11,1954
24,M,White,0,13,0,5,1961
24,M,Hispanic,0,1,0,0,1935
3,M,Black,0,1,0,0,1927
23,M,White,0,2,0,0,1951
12,M,White,0,1,0,0,1942
14,M,Hispanic,1,2,0,0,1958
19,M,White,0,1,0,0,1935
17,M,White,0,0,0,0,1936
16,M,White,0,0,0,0,1942
25,M,White,0,0,0,0,1933
23,M,White,0,0,0,0,1936
19,M,White,0,0,0,0,1942
22,M,White,0,0,0,0,1931
9,M,White,0,0,0,0,1945
16,M,White,0,0,0,0,1943
6,M,White,0,0,0,0,1926
22,M,White,0,0,0,0,1923
22,M,White,0,0,0,0,1947
17,M,White,0,0,0,0,1923
22,M,White,0,0,0,0,1924
12,F,White,0,0,0,0,1954
20,M,White,0,0,0,0,1924
15,M,White,0,0,0,0,1936
9,M,White,0,0,0,0,1925
6,M,White,0,0,0,0,1929
17,M,White,0,0,0,0,1946
19,M,White,0,0,0,0,1926
13,M,White,0,0,0,0,1923
3,M,White,0,0,0,0,1922
8,M,White,0,0,0,0,1927
7,M,Black,0,0,0,0,1923
16,M,White,0,0,0,0,1919
4,M,White,1,0,0,0,1925
8,M,White,0,0,0,0,1925
10,M,White,1,0,0,0,1926
9,M,White,0,0,0,0,1920
9,M,White,0,0,0,0,1918
19,M,White,0,0,0,0,1923
16,M,White,0,0,0,0,1926
4,M,White,1,0,0,0,1920
19,M,White,0,0,0,0,1924
7,M,White,0,0,0,0,1932
9,M,White,0,0,0,0,1921
19,M,White,0,0,0,0,1924
13,M,White,0,0,0,0,1934
19,M,White,0,0,0,0,1927
3,M,Black,0,0,0,0,1924
16,M,White,0,0,0,0,1933
3,M,White,0,0,0,0,1935
